strain,orien,roundness,aspect,size,tilt,nearest_grain,ferrite_bainite,size4,subtraction
3.0,2.0,0.657,0.8390000000000001,0.5854021458219124,19.242999999999995,47.2652,1.0,0.4209413423134153,0.16446080350849712
0.0,1.0,0.502,0.67,1.17961469183178,70.258,34.2053,1.0,1.0807424230558385,0.09887226877594156
1.0,2.0,0.471,0.369,0.8281776176677892,47.945,32.5576,0.0,0.7968517503328373,0.031325867334951914
2.0,2.0,0.266,0.332,0.6656746808677265,88.913,34.2053,1.0,0.4992560106507949,0.16641867021693166
2.0,3.0,0.326,0.506,0.5521184117785262,41.53200000000001,51.5461,1.0,0.4346464092724568,0.11747200250606935
2.0,2.0,0.242,0.14300000000000002,0.5335186780483985,38.433,32.5576,0.0,0.3798261414362911,0.1536925366121074
0.0,1.0,0.438,0.721,1.2500978933354217,9.139999999999986,47.2652,1.0,0.7067898817448508,0.5433080115905708
0.0,1.0,0.556,0.589,0.6245594799906022,45.56200000000001,32.6956,1.0,0.38374187485316,0.2408176051374422
2.0,3.0,0.136,0.812,1.3156864280679772,3.881,29.7321,1.0,0.7537786827472786,0.5619077453206986
0.0,1.0,0.258,0.8270000000000001,3.435077139948312,87.171,47.2969,1.0,1.4292426971571774,2.0058344427911345
2.0,1.0,0.563,0.687,0.4248570757302843,22.274,32.6956,1.0,0.1859973373012765,0.2388597384290078
0.0,3.0,0.302,0.716,1.7992795050512962,2.982,50.01,0.0,1.2628240269402458,0.5364554781110504
0.0,2.0,0.603,0.505,0.3191322734748219,1.405,32.2025,1.0,0.10376693554702797,0.21536533792779394
3.0,3.0,0.324,0.914,1.8110267053019031,86.196,36.0694,0.0,0.9456496201738586,0.8653770851280446
2.0,3.0,0.265,0.395,0.5462448116532227,71.237,36.0139,0.0,0.4268149424387188,0.11942986921450388
0.0,3.0,0.292,0.318,0.5207925444435743,87.902,40.05,1.0,0.4268149424387188,0.09397760200485544
0.0,3.0,0.46,0.716,0.4463936095230637,46.64099999999999,36.0139,0.0,0.3191322734748219,0.12726133604824175
3.0,3.0,0.284,0.183,0.471845876732712,84.69,46.0109,0.0,0.2643120056386561,0.2075338710940559
3.0,1.0,0.17800000000000002,0.104,0.4698880100242776,29.345,47.0744,0.0,0.29759573968204245,0.17229227034223515
0.0,1.0,0.221,0.23,1.8051531051766,1.9989999999999952,50.01,1.0,1.0866160231811417,0.718537081995458
0.0,2.0,0.342,0.487,0.6862322813062887,58.691,44.2945,1.0,0.5344976114026158,0.1517346699036729
0.0,3.0,0.471,0.596,0.6705693476388127,29.574,42.1545,1.0,0.4268149424387188,0.2437544052000939
2.0,3.0,0.5429999999999999,0.5489999999999999,0.3641632077688151,7.996000000000008,9.2195,1.0,0.3073850732242149,0.05677813454460024
2.0,1.0,0.279,0.32,0.8771242853786514,63.607,26.8328,1.0,0.76748374970632,0.10964053567233134
0.0,1.0,0.362,0.951,1.6269872347090608,85.12299999999998,45.618,0.0,0.7616101495810165,0.8653770851280443
2.0,3.0,0.447,0.667,5.547615318349125,9.933,9.2195,1.0,3.6944944788158818,1.8531208395332444
1.0,3.0,0.29600000000000004,0.16899999999999998,0.7263685488291957,84.59200000000001,46.4866,0.0,0.6010650794893884,0.1253034693398073
3.0,3.0,0.65,0.625,0.9720808207377242,25.254999999999995,38.9102,0.0,0.6970005482026784,0.2750802725350457
0.0,3.0,0.17800000000000002,0.7440000000000001,1.0885738898895765,75.422,39.1152,0.0,0.8516720181690031,0.23690187172057345
2.0,1.0,0.546,0.51,0.4561829430652361,24.517,24.2074,1.0,0.2486490719711802,0.2075338710940559
1.0,3.0,0.29100000000000004,0.255,0.7586733495183648,45.473,30.6757,0.0,0.5834442791134781,0.17522907040488678
0.0,3.0,0.232,0.8140000000000001,1.199193358916125,38.348000000000006,38.2099,0.0,0.86341921841961,0.33577414049651505
2.0,2.0,0.34600000000000003,0.736,0.6402224136580782,3.915999999999997,30.8869,0.0,0.387657608270029,0.2525648053880492
1.0,1.0,0.495,0.504,0.6568642806797713,78.056,25.0,0.0,0.2094917378024904,0.4473725428772809
1.0,2.0,0.162,0.333,1.4977680319523847,76.14399999999998,42.7551,1.0,1.0180906883859346,0.4796773435664501
3.0,2.0,0.218,0.8909999999999999,0.4473725428772809,60.848,43.0,0.0,0.1331349361735453,0.3142376067037356
2.0,1.0,0.398,0.34,0.6930848147858094,76.57,30.8869,1.0,0.3739525413109875,0.3191322734748219
2.0,3.0,0.738,0.872,0.6715482809930301,57.619,24.2074,1.0,0.1859973373012765,0.4855509436917536
1.0,1.0,0.29600000000000004,0.667,1.9382880413501449,15.233000000000004,48.7545,0.0,1.2432453598559008,0.6950426814942441
1.0,2.0,0.616,0.674,0.3514370741639909,61.008,27.0185,1.0,0.3015114730989114,0.049925601065079483
1.0,3.0,0.17800000000000002,0.22,0.6881901480147231,65.9,30.6757,1.0,0.6049808129062574,0.08320933510846573
0.0,3.0,0.585,0.961,0.4933824105254914,80.89399999999998,34.3657,1.0,0.3856997415615945,0.10768266896389694
2.0,0.0,0.211,0.163,0.5012138773592294,44.43199999999999,44.2832,0.0,0.3896154749784635,0.1115984023807659
0.0,3.0,0.502,0.455,0.3338162737880805,82.586,33.1361,0.0,0.28780640613987,0.046009867648210516
2.0,2.0,0.21600000000000005,0.67,1.08367922311849,22.507,49.2443,0.0,0.7361578823713681,0.3475213407471218
1.0,2.0,0.662,0.732,0.3631842744145978,71.126,25.9422,1.0,0.32304800689169083,0.040136267522906936
2.0,2.0,0.29,0.605,1.0464797556582348,39.965,32.249,1.0,0.8497141514605686,0.1967656041976662
2.0,1.0,0.195,0.444,0.7224528154123268,28.342,32.249,1.0,0.4542250763568016,0.2682277390555252
2.0,0.0,0.421,0.32,0.3328373404338633,61.113,32.249,0.0,0.29172213955673904,0.04111520087712428
1.0,1.0,0.465,0.688,1.2461821599185527,52.725,26.4008,1.0,0.5364554781110502,0.7097266818075025
1.0,0.0,0.4,0.7859999999999999,0.5315608113399639,3.009,34.8855,1.0,0.4424778761061947,0.0890829352337692
0.0,0.0,0.16,0.619,2.010729109562221,1.007,33.1361,0.0,1.6171979011668884,0.3935312083953326
2.0,0.0,0.284,0.691,1.1443730910799592,49.31100000000001,32.249,0.0,0.9534810870075964,0.19089200407236284
1.0,3.0,0.439,0.547,0.7351789490171509,56.297,26.4008,1.0,0.5814864124050435,0.15369253661210736
0.0,3.0,0.444,0.677,0.3945101417495497,75.827,39.4588,1.0,0.32304800689169083,0.07146213485785885
