strain,orien,roundness,aspect,size,tilt,nearest_grain,ferrite_bainite,size4,division
0.0,2.0,0.342,0.487,0.6862322813062887,58.691,44.2945,1.0,0.5344976114026158,22.111269614835933
0.0,3.0,0.471,0.596,0.6705693476388127,29.574,42.1545,1.0,0.4268149424387188,36.350364963503644
2.0,3.0,0.5429999999999999,0.5489999999999999,0.3641632077688151,7.996000000000008,9.2195,1.0,0.3073850732242149,15.591397849462366
2.0,1.0,0.279,0.32,0.8771242853786514,63.607,26.8328,1.0,0.76748374970632,12.499999999999984
0.0,1.0,0.362,0.951,1.6269872347090608,85.12299999999998,45.618,0.0,0.7616101495810165,53.18892900120336
2.0,3.0,0.447,0.667,5.547615318349125,9.933,9.2195,1.0,3.6944944788158818,33.403917416622555
1.0,3.0,0.29600000000000004,0.16899999999999998,0.7263685488291957,84.59200000000001,46.4866,0.0,0.6010650794893884,17.250673854447427
3.0,3.0,0.65,0.625,0.9720808207377242,25.254999999999995,38.9102,0.0,0.6970005482026784,28.2980866062437
0.0,3.0,0.17800000000000002,0.7440000000000001,1.0885738898895765,75.422,39.1152,0.0,0.8516720181690031,21.762589928057565
2.0,1.0,0.546,0.51,0.4561829430652361,24.517,24.2074,1.0,0.2486490719711802,45.493562231759654
1.0,3.0,0.29100000000000004,0.255,0.7586733495183648,45.473,30.6757,0.0,0.5834442791134781,23.09677419354837
0.0,3.0,0.232,0.8140000000000001,1.199193358916125,38.348000000000006,38.2099,0.0,0.86341921841961,28.0
2.0,2.0,0.34600000000000003,0.736,0.6402224136580782,3.915999999999997,30.8869,0.0,0.387657608270029,39.44954128440367
1.0,1.0,0.495,0.504,0.6568642806797713,78.056,25.0,0.0,0.2094917378024904,68.10730253353205
1.0,2.0,0.162,0.333,1.4977680319523847,76.14399999999998,42.7551,1.0,1.0180906883859346,32.02614379084969
3.0,2.0,0.218,0.8909999999999999,0.4473725428772809,60.848,43.0,0.0,0.1331349361735453,70.24070021881838
2.0,1.0,0.398,0.34,0.6930848147858094,76.57,30.8869,1.0,0.3739525413109875,46.04519774011301
2.0,3.0,0.738,0.872,0.6715482809930301,57.619,24.2074,1.0,0.1859973373012765,72.30320699708456
1.0,1.0,0.29600000000000004,0.667,1.9382880413501449,15.233000000000004,48.7545,0.0,1.2432453598559008,35.85858585858587
1.0,2.0,0.616,0.674,0.3514370741639909,61.008,27.0185,1.0,0.3015114730989114,14.20612813370474
1.0,3.0,0.17800000000000002,0.22,0.6881901480147231,65.9,30.6757,1.0,0.6049808129062574,12.091038406827865
0.0,3.0,0.585,0.961,0.4933824105254914,80.89399999999998,34.3657,1.0,0.3856997415615945,21.825396825396822
2.0,0.0,0.211,0.163,0.5012138773592294,44.43199999999999,44.2832,0.0,0.3896154749784635,22.265625
0.0,3.0,0.502,0.455,0.3338162737880805,82.586,33.1361,0.0,0.28780640613987,13.782991202346055
2.0,2.0,0.21600000000000005,0.67,1.08367922311849,22.507,49.2443,0.0,0.7361578823713681,32.06865401987352
1.0,2.0,0.662,0.732,0.3631842744145978,71.126,25.9422,1.0,0.32304800689169083,11.051212938005364
2.0,2.0,0.29,0.605,1.0464797556582348,39.965,32.249,1.0,0.8497141514605686,18.802619270346113
2.0,1.0,0.195,0.444,0.7224528154123268,28.342,32.249,1.0,0.4542250763568016,37.12737127371274
2.0,0.0,0.421,0.32,0.3328373404338633,61.113,32.249,0.0,0.29172213955673904,12.352941176470598
1.0,1.0,0.465,0.688,1.2461821599185527,52.725,26.4008,1.0,0.5364554781110502,56.95208169677926
1.0,0.0,0.4,0.7859999999999999,0.5315608113399639,3.009,34.8855,1.0,0.4424778761061947,16.7587476979742
0.0,0.0,0.16,0.619,2.010729109562221,1.007,33.1361,0.0,1.6171979011668884,19.571567672833496
2.0,0.0,0.284,0.691,1.1443730910799592,49.31100000000001,32.249,0.0,0.9534810870075964,16.680923866552618
1.0,3.0,0.439,0.547,0.7351789490171509,56.297,26.4008,1.0,0.5814864124050435,20.905459387483347
0.0,3.0,0.444,0.677,0.3945101417495497,75.827,39.4588,1.0,0.32304800689169083,18.114143920595524
1.0,2.0,0.246,0.472,1.2187720260004695,63.06100000000001,27.0185,1.0,1.1003210901401832,9.718875502008004
3.0,0.0,0.245,0.48,0.5041506774218811,44.38300000000001,44.2832,1.0,0.3485002741013392,30.873786407766985
1.0,1.0,0.649,0.6779999999999999,0.4894666771086224,79.74,34.0,1.0,0.19578667084344892,60.0
1.0,1.0,0.188,0.4270000000000001,1.365612029133057,66.35600000000001,49.2443,0.0,1.2510768266896388,8.38709677419358
1.0,3.0,0.242,0.463,0.3533949408724254,2.639,36.2215,1.0,0.13900853629884874,60.66481994459835
0.0,3.0,0.191,0.461,1.0131960216148483,25.688,41.4367,1.0,0.6774218811183335,33.14009661835749
2.0,1.0,0.312,0.7340000000000001,1.498746965306602,4.881,37.1618,1.0,1.162972824810087,22.403657740039183
